model,site_micro_frobenius_mean,site_micro_frobenius_median,normalized_frobenius_error,crystal_macro_frobenius_mean,crystal_macro_frobenius_median,largest_principal_vzz_mae,asymmetry_eta_mae,asymmetry_eta_conditional_mae,eta_coverage_rate,common_mask_orientation_mean_deg,common_mask_orientation_median_deg,common_valid_orientation_count,prediction_validity_rate,intersection_orientation_mean_deg,checkpoint_sha256
B0_zero,90.7186832193194,43.022837935217616,0.9999999999992252,79.8331252683249,54.44453635274094,72.5714113656586,,,0.0,,,12416,0.0,,zeros
B1_element_mean,91.50989788223607,43.991648839285865,1.0087216286080007,81.49500764820874,55.45573125999936,72.98390316748902,0.505493711897178,0.3721873699623962,0.7876654027702545,47.13318429959086,50.29569464321543,12416,0.8855509020618557,46.0935022955312,train_mean
B2_local_ridge,91.58325431648122,43.662276114422056,1.0095302430151096,81.07512069231043,54.32527260526276,73.23378240110544,0.4466668338265803,0.4439128620842132,0.9950475895689856,47.64730570761739,51.531044748545845,12416,0.8447970360824743,46.50834336777809,ecd7175f1043
B4_invariant_projected_5d,89.52425286275539,41.7637981136047,0.9868336894424962,78.93539454675302,52.92085291692997,71.49673638384051,0.9007612493719774,0.2014555576799905,0.1242745492532693,46.61202790551571,51.79456665428,12416,0.1283827319587628,30.275373550545236,c864227be714
B5_equivariant_e3nn,64.0544969385992,33.61618063392948,0.7060783365174392,59.05900123906821,36.57271837432991,54.102322977412086,0.1581518887421761,0.1455228446603159,0.9852201501199412,15.828069813840932,0.0005687515885391835,12416,0.9375805412371134,14.1987978430917,30d5f135555b
B6_symmetry_projected_e3nn,64.05436146645513,33.61618063392936,0.706076843196116,59.05884562095754,36.57271850086352,54.10225192311871,0.1581534261768626,0.1455244051589377,0.9852201501199412,15.827857775510282,0.0005687515885391835,12416,0.9375805412371134,14.198896063020596,30d5f135555b
