fold,model,seed,num_crystals,num_sites,mean_frobenius_macro,median_frobenius_macro,p90_frobenius_macro,normalized_frobenius_macro
fold_0,B0_zero,42,3041,19237,74.98133232270494,50.449204975497814,172.36691896503808,0.9999999999956144
fold_0,B2_local_mlp,42,3041,19237,75.12653555094643,50.51485285030435,172.57551043122146,1.0019365250444883
fold_0,B4_invariant_projected_5d,42,3041,19237,74.77226247783882,50.115294995706776,172.3805218380033,0.9972117080516222
fold_0,B5_equivariant_e3nn,42,3041,19237,63.047029966272866,40.75213561358079,144.89535826077406,0.8408363523690713
fold_1,B0_zero,42,3041,18870,80.36940280571044,53.228504545029146,181.4054243764922,0.9999999999959084
fold_1,B2_local_mlp,42,3041,18870,80.5365276874892,53.19999149605201,181.3703952558098,1.0020794590430546
fold_1,B4_invariant_projected_5d,42,3041,18870,80.00447518686667,52.89556688903395,180.80643932337054,0.9954593712727552
fold_1,B5_equivariant_e3nn,42,3041,18870,67.82935478967377,42.952169230297265,149.64114453481855,0.8439698743733455
fold_2,B0_zero,42,3040,18884,77.19264998601271,53.446261883955906,178.14149217153476,0.9999999999957386
fold_2,B2_local_mlp,42,3040,18884,77.47734068171285,53.641634632864914,178.47302455723838,1.0036880544381046
fold_2,B4_invariant_projected_5d,42,3040,18884,75.2179464386483,50.571992519608756,177.04645944248605,0.9744185029527712
fold_2,B5_equivariant_e3nn,42,3040,18884,62.55222566425163,38.3540340430353,146.0596749151376,0.8103391407772569
fold_3,B0_zero,42,3040,19443,84.59935783400275,53.030244539304405,193.2011655361899,0.9999999999961117
fold_3,B2_local_mlp,42,3040,19443,84.70287373352807,53.05030936488275,193.1735945938424,1.0012236014769649
fold_3,B4_invariant_projected_5d,42,3040,19443,83.89535786154805,51.2407530553228,193.40026680448838,0.9916784241534994
fold_3,B5_equivariant_e3nn,42,3040,19443,68.52978160803676,41.42602081355827,157.5462995496335,0.8100508486392594
fold_4,B0_zero,42,3040,19229,86.19556107527107,52.72976489894532,189.47325069889715,0.9999999999961837
fold_4,B2_local_mlp,42,3040,19229,86.38791339559965,52.626118997113984,189.67812781430368,1.002231580345894
fold_4,B4_invariant_projected_5d,42,3040,19229,85.26084625372538,50.670909859741926,188.80140538938215,0.9891558821566828
fold_4,B5_equivariant_e3nn,42,3040,19229,69.18509993950232,38.29177292069821,149.15825625351596,0.802652701324396
