jid,site_idx,element,num_stabilizer_ops,invariant_subspace_dimension,is_symmetry_enforced_zero,b5_frob_norm,b6_frob_norm,frob_difference
JVASP-36608,0,Ca,48,0,True,5.3275039135769475e-06,0.0,5.32750382283788e-06
JVASP-36608,1,V,48,0,True,7.6287956289888825e-06,0.0,7.628795809177044e-06
JVASP-36608,2,O,16,1,False,11.000687599182129,11.000687091519524,3.072150410102985e-06
JVASP-36608,3,O,16,1,False,11.000699996948242,11.000699744936577,7.609575952869002e-07
JVASP-36608,4,O,16,1,False,11.000690460205078,11.000690400874753,2.068895753220178e-06
JVASP-2730,0,O,4,2,False,8.617700576782227,8.61770017037993,5.0595247524547136e-05
JVASP-2730,1,O,4,2,False,8.617691993713379,8.617691613680078,2.212840124648147e-05
JVASP-2730,2,O,4,2,False,8.617687225341797,8.617687317141645,2.395802902413298e-05
JVASP-2730,3,O,4,2,False,8.617705345153809,8.617704846945411,5.0364531339690786e-05
JVASP-2730,4,Na,8,1,False,65.58547973632812,65.5854778496596,8.790511250743122e-05
JVASP-2730,5,Na,8,1,False,65.58545684814453,65.58546131498078,8.806073987998601e-05
JVASP-2730,6,Nd,8,1,False,18.465465545654297,18.465466461770465,0.000188405501957974
JVASP-2730,7,Nd,8,1,False,18.46547508239746,18.465475608547788,0.00018794712454731132
JVASP-18671,0,Co,4,2,False,54.401634216308594,54.40163543244299,0.00023511384672467059
JVASP-18671,1,Co,4,2,False,54.40163803100586,54.40163731676861,0.00023801984635710697
JVASP-18671,2,Th,4,2,False,83.44122314453125,83.44122038546548,0.0005830983938369934
JVASP-18671,3,Th,4,2,False,83.44123077392578,83.44122797737393,0.0005872456638591906
JVASP-19841,0,Th,24,1,False,117.69491577148438,117.6949169769847,1.3747995285248646e-05
JVASP-19841,1,Co,12,1,False,10.37490463256836,10.374904564430645,0.0005590415779394057
JVASP-19841,2,Co,12,1,False,10.374903678894043,10.374903591090874,0.0005506147131972843
JVASP-19841,3,Co,8,2,False,56.46958541870117,56.469584256206005,0.0002733801770179888
JVASP-19841,4,Co,8,2,False,56.46889114379883,56.468890587184866,5.460508299050863e-06
JVASP-19841,5,Co,8,2,False,56.469581604003906,56.46958230638552,0.0002768832034075675
JVASP-78518,0,Th,16,1,False,151.6632080078125,151.66321517521175,2.7171969381102358e-05
JVASP-78518,1,Th,16,1,False,151.6632080078125,151.66319804443174,8.90153972588796e-06
JVASP-78518,2,Co,8,1,False,32.68693161010742,32.68693025886172,1.688684515127069e-05
JVASP-78518,3,Co,8,1,False,32.68691635131836,32.686918578784436,2.361109919597843e-05
JVASP-78518,4,Co,8,1,False,32.686912536621094,32.68691118140217,2.1754994101011767e-05
JVASP-78518,5,Co,8,1,False,32.68693923950195,32.68693687757218,1.7964756468566447e-05
JVASP-41948,0,Rb,16,1,False,22.7061710357666,22.70617068091529,1.4311488993716691e-06
JVASP-41948,1,Rb,16,1,False,40.10667419433594,40.10667482279678,1.7464801388952648e-06
JVASP-41948,2,Zr,8,1,False,83.0124282836914,83.01243033074063,1.618479507281274e-05
JVASP-41948,3,Zr,8,1,False,83.0124282836914,83.01243033074063,1.6186804730136593e-05
JVASP-41948,4,O,4,2,False,15.413262367248535,15.413261949338938,2.7755509451919324e-07
JVASP-41948,5,O,4,2,False,15.413257598876953,15.413257378515668,2.6487385804889443e-07
JVASP-41948,6,O,4,2,False,15.413274765014648,15.413274305848851,3.1529943297477486e-07
JVASP-41948,7,O,4,2,False,15.413270950317383,15.413271441600806,3.449371831414881e-07
JVASP-41948,8,O,16,1,False,4.770277976989746,4.770277930693146,4.663130835997405e-06
JVASP-17505,0,Yb,16,1,False,474.5180969238281,474.5181086855934,1.8266504092672344e-07
JVASP-17505,1,Yb,16,1,False,474.51806640625,474.5180775387206,1.3930302501181604e-05
JVASP-17505,2,Yb,16,1,False,474.51806640625,474.5180775387206,1.3929634245058291e-05
JVASP-17505,3,In,48,0,True,6.404639407264767e-06,0.0,6.404639228843227e-06
JVASP-17505,4,C,48,0,True,2.1804413336212747e-05,0.0,2.180441407157649e-05
JVASP-86722,0,Pr,6,1,False,3.1195523738861084,3.1195521241782407,0.0006915359075160664
JVASP-86722,1,Pr,6,1,False,3.119549512863159,3.119549447493864,0.0006914552715769854
JVASP-86722,2,Pr,6,1,False,3.119553565979004,3.1195535841879005,0.0006886521321918896
JVASP-86722,3,Pr,6,1,False,3.1195595264434814,3.119559375559552,0.0006902753263797063
JVASP-86722,4,Ni,6,1,False,41.033931732177734,41.03393279789859,0.000899512256235766
JVASP-86722,5,Ni,6,1,False,41.033931732177734,41.03393279789859,0.0008900072800654853
JVASP-86722,6,Ni,6,1,False,41.03392791748047,41.03392812586768,0.0008929612381919953
JVASP-86722,7,Ni,6,1,False,41.03390884399414,41.033906323056755,0.0008979879049936867
JVASP-86722,8,I,12,1,False,18.32636070251465,18.326359923705844,8.8003529562328e-05
JVASP-86722,9,I,12,1,False,18.32636070251465,18.326361481049478,9.340062024004718e-05
JVASP-15853,0,Ce,16,1,False,406.4239807128906,406.42397452147446,3.354624893861805e-05
JVASP-15853,1,Ce,16,1,False,406.4240417480469,406.4240430445945,8.684514914933763e-08
JVASP-15853,2,Ce,16,1,False,406.4239807128906,406.42397452147446,3.354628900299162e-05
JVASP-15853,3,Al,48,0,True,4.364074811746832e-06,0.0,4.364074792880191e-06
JVASP-15853,4,C,48,0,True,5.516129931493197e-06,0.0,5.516129844346932e-06
JVASP-79475,0,Ca,12,1,False,53.50297927856445,53.5029798024326,0.00019326343913599072
