fold,seed,num_crystals,mean_b4_macro,mean_b5_macro,paired_difference_macro,relative_improvement_pct,bootstrap_95_ci_lower,bootstrap_95_ci_upper,statistically_significant
fold_0,42,3041,74.77226247783882,63.047029966272866,-11.725232511565967,15.681259497853375,-13.097160682501038,-10.435765969427253,True
fold_1,42,3041,80.00447518686667,67.82935478967377,-12.175120397192888,15.218049201317097,-13.35234461766298,-10.95409341814896,True
fold_2,42,3040,75.2179464386483,62.55222566425163,-12.66572077439667,16.838695250378173,-13.963632698058776,-11.209761785536445,True
fold_3,42,3040,83.89535786154805,68.52978160803676,-15.3655762535113,18.315168616205202,-17.012183269729316,-13.769917746642394,True
fold_4,42,3040,85.26084625372538,69.18509993950232,-16.075746314223053,18.85478155633559,-17.65801542739313,-14.55825917917207,True
