transformation,num_crystals_tested,total_sites_tested,b5_trained_mean_abs_err,b5_trained_max_abs_err,b5_trained_p99_abs_err,b5_trained_mean_rel_err,b4_trained_mean_abs_err,b4_trained_mean_rel_err,status
SO(3) Rotation,100,616,4.218041794956662e-05,0.0005125527968630195,0.0001860448537627235,0.5255534052848816,3.453716278076172,1.3347684144973755,B5 Passes Covariance; B4 Invariant Cartesian Control Fails
Inversion (P=-I),100,616,7.593639415639462e-06,6.519187709692022e-05,4.401285287760261e-05,0.05249229946997883,2.383194609555117e-07,7.71674989826966e-07,B5 Passes Covariance; B4 Invariant Cartesian Control Fails
Reflection (det=-1),100,616,2.1218053542717486e-05,0.00016315546410036963,0.0001007782323292386,0.2122937658112728,2.763449543646801,1.1522681718329368,B5 Passes Covariance; B4 Invariant Cartesian Control Fails
Periodic Translation,100,616,7.887463280523394e-06,5.7104182233749494e-05,4.21809255757688e-05,0.05666415260697133,2.63202811114963e-07,7.920035050739007e-07,B5 Passes Covariance; B4 Invariant Cartesian Control Fails
