tau_non_degeneracy_threshold,total_sites,valid_eta_sites,valid_orientation_sites,excluded_low_magnitude,excluded_degenerate_true,b0_valid_orientation,b0_valid_eta,notes
0.01,14225,12923,12885,1209,131,0,0,B0 is strictly undefined (reported as NaN / N/A in all tables)
0.05,14225,12923,12416,1209,600,0,0,B0 is strictly undefined (reported as NaN / N/A in all tables)
0.1,14225,12923,11841,1209,1175,0,0,B0 is strictly undefined (reported as NaN / N/A in all tables)
0.2,14225,12923,10463,1209,2553,0,0,B0 is strictly undefined (reported as NaN / N/A in all tables)
