frobenius_error_mean,frobenius_error_median,normalized_frobenius_error,component_mae,mean_symmetry_residual,mean_trace_residual,largest_principal_vzz_mae,asymmetry_eta_mae,eigenvalue_set_mae,principal_axis_angle_deg,non_degenerate_fraction,model,num_params,equivariance,notes,inference_throughput,split
90.71868133544922,43.0228385925293,1.0,20.61355209350586,0.0,0.0,72.5714111328125,0.0,48.38094083906906,36.060909271240234,0.8586291739894552,B0_zero,0,Trivial,Null baseline V = 0,,tensor_development_split
91.50989532470703,43.99164962768555,1.0087215900421143,21.05084991455078,0.0,2.109920558268641e-07,72.98390197753906,0.38799917256204913,45.136585748302366,47.3849983215332,0.8586291739894552,B1_element_mean,0,Non-covariant,Element-specific isotropic mean,,tensor_development_split
90.49613189697266,42.96994400024414,0.9975468516349792,20.573131561279297,0.0,0.0,71.73213195800781,0.284317388622513,45.604641620320365,39.234371185302734,0.8586291739894552,B2_local_mlp,19077,Non-covariant,Local environment descriptors + MLP,,tensor_development_split
88.25752258300781,41.4914436340332,0.972870409488678,20.218503952026367,0.0,0.10853073000907898,70.42176055908203,0.33464405101131,45.803853086590905,41.91207504272461,0.8586291739894552,B3_invariant_unconstrained_6d,260806,Non-covariant,Invariant GNN with unconstrained 6D output,,tensor_development_split
87.60098266601562,40.34926986694336,0.9656333327293396,20.06392478942871,0.0,0.0,70.04092407226562,0.30361884992437677,45.53061864682924,39.939571380615234,0.8586291739894552,B4_invariant_projected_5d,260741,Non-covariant,Invariant GNN with exact symmetric-traceless projection,,tensor_development_split
62.17657470703125,32.728065490722656,0.685377836227417,13.856110572814941,0.0,7.310217142730835e-07,52.784080505371094,0.14422853040060496,28.589934132188443,16.430950164794922,0.8586291739894552,B5_equivariant_e3nn,692584,E(3)-Equivariant,E(3)-Equivariant GNN with l=2 irrep output,909.8956337914394,tensor_development_split
62.17657470703125,32.728065490722656,0.685377836227417,13.856110572814941,0.0,7.310216574296646e-07,52.784080505371094,0.14422853040060496,28.589933826215674,16.430950164794922,0.8586291739894552,B6_equivariant_site_symmetry,692584,E(3)-Equivariant + Site-Symmetry,B5 with crystallographic site-symmetry projection,,tensor_development_split
